DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	15:51:07	15:54:27	1985-07-13	20:51:07	20:54:27	09:03:07	09:06:27	08:55:28	08:58:48	00:03:20	London	Elton John	I'm Still Standing	
1985-07-13	15:54:27	15:59:07	1985-07-13	20:54:27	20:59:07	09:06:27	09:11:07	08:58:48	09:03:28	00:04:40	London	Elton John	Bennie and the Jets	
1985-07-13	15:57:00	16:01:56	1985-07-13	20:57:00	21:01:56	09:09:00	09:13:56	09:01:21	09:06:17	00:04:56	Philadelphia	Ashford & Simpson	Solid	
1985-07-13	15:59:07	16:03:51	1985-07-13	20:59:07	21:03:51	09:11:07	09:15:51	09:03:28	09:08:12	00:04:44	London	Elton John	Rocket Man	
1985-07-13	16:01:56	16:08:01	1985-07-13	21:01:56	21:08:01	09:13:56	09:20:01	09:06:17	09:12:22	00:06:05	Philadelphia	Ashford & Simpson + Teddy Pendergrass	Reach Out and Touch (Somebody's Hand)	
1985-07-13	16:03:51	16:04:25	1985-07-13	21:03:51	21:04:25	09:15:51	09:16:25	09:08:12	09:08:46	00:00:34	London	Elton John	Presentation of the Band	
1985-07-13	16:04:25	16:09:16	1985-07-13	21:04:25	21:09:16	09:16:25	09:21:16	09:08:46	09:13:37	00:04:51	London	Elton John + Kiki Dee	Don't Go Breaking My Heart (with Kiki Dee)	
1985-07-13	16:09:16	16:14:51	1985-07-13	21:09:16	21:14:51	09:21:16	09:26:51	09:13:37	09:19:12	00:05:35	London	Elton John + Wham!	Don't Let the Sun Go Down on Me (with Wham!)	
1985-07-13	16:14:51	16:18:33	1985-07-13	21:14:51	21:18:33	09:26:51	09:30:33	09:19:12	09:22:54	00:03:42	London	Elton John	Can I Get a Witness	
1985-07-13	16:19:00	16:21:01	1985-07-13	21:19:00	21:21:01	09:31:00	09:33:01	09:23:21	09:25:22	00:02:01	Video	Kool & The Gang	Stand Up and Sing	Pre-recorded video
1985-07-13	16:21:01	16:24:12	1985-07-13	21:21:01	21:24:12	09:33:01	09:36:12	09:25:22	09:28:33	00:03:11	Video	Kool & The Gang	Cherish	Pre-recorded video
1985-07-13	16:27:00	16:27:10	1985-07-13	21:27:00	21:27:10	09:39:00	09:39:10	09:31:21	09:31:31	00:00:10	Philadelphia	Madonna	Introduction by Bill Graham of Bette Midler	
1985-07-13	16:27:10	16:27:20	1985-07-13	21:27:10	21:27:20	09:39:10	09:39:20	09:31:31	09:31:41	00:00:10	Philadelphia	Madonna	Introduction by Bette Midler	
1985-07-13	16:27:20	16:33:40	1985-07-13	21:27:20	21:33:40	09:39:20	09:45:40	09:31:41	09:38:01	00:06:20	Philadelphia	Madonna	Holiday	
1985-07-13	16:33:40	16:40:09	1985-07-13	21:33:40	21:40:09	09:45:40	09:52:09	09:38:01	09:44:30	00:06:29	Philadelphia	Madonna	Into the Groove	
1985-07-13	16:40:09	16:45:26	1985-07-13	21:40:09	21:45:26	09:52:09	09:57:26	09:44:30	09:49:47	00:05:17	Philadelphia	Madonna + Thompson Twins + Nile Rodgers	"Love Makes the World Go Round"" (w/Thompson Twins and Nile Rodgers)"	
1985-07-13	16:48:00	16:48:35	1985-07-13	21:48:00	21:48:35	10:00:00	10:00:35	09:52:21	09:52:56	00:00:35	London	Freddie Mercury + Brian May	Introduction by John Hurt	
1985-07-13	16:48:35	16:51:32	1985-07-13	21:48:35	21:51:32	10:00:35	10:03:32	09:52:56	09:55:53	00:02:57	London	Freddie Mercury + Brian May	Is This the World We Created...?	
1985-07-13	16:51:00	16:55:52	1985-07-13	21:51:00	21:55:52	10:03:00	10:07:52	09:55:21	10:00:13	00:04:52	London	Paul McCartney + David Bowie + Bob Geldof + Alison Moyet + Pete Townshend	Let It Be	
1985-07-13	16:57:00	16:57:57	1985-07-13	21:57:00	21:57:57	10:09:00	10:09:57	10:01:21	10:02:18	00:00:57	London	Band Aid	Intermission	
1985-07-13	16:57:57	17:01:38	1985-07-13	21:57:57	22:01:38	10:09:57	10:13:38	10:02:18	10:05:59	00:03:41	London	Band Aid	Do They Know It's Christmas?	
1985-07-13	17:02:00	17:02:10	1985-07-13	22:02:00	22:02:10	10:14:00	10:14:10	10:06:21	10:06:31	00:00:10	Philadelphia	Tom Petty and the Heartbreakers	Introduction by Bill Graham of Don Johnson	
1985-07-13	17:02:10	17:02:20	1985-07-13	22:02:10	22:02:20	10:14:10	10:14:20	10:06:31	10:06:41	00:00:10	Philadelphia	Tom Petty and the Heartbreakers	Introduction by Don Johnson	
1985-07-13	17:02:20	17:06:27	1985-07-13	22:02:20	22:06:27	10:14:20	10:18:27	10:06:41	10:10:48	00:04:07	Philadelphia	Tom Petty and the Heartbreakers	American Girl	
1985-07-13	17:06:27	17:11:13	1985-07-13	22:06:27	22:11:13	10:18:27	10:23:13	10:10:48	10:15:34	00:04:46	Philadelphia	Tom Petty and the Heartbreakers	The Waiting	
1985-07-13	17:11:13	17:16:55	1985-07-13	22:11:13	22:16:55	10:23:13	10:28:55	10:15:34	10:21:16	00:05:42	Philadelphia	Tom Petty and the Heartbreakers	Rebels	
1985-07-13	17:16:55	17:20:39	1985-07-13	22:16:55	22:20:39	10:28:55	10:32:39	10:21:16	10:25:00	00:03:44	Philadelphia	Tom Petty and the Heartbreakers	Refugee	
1985-07-13	17:30:00	17:30:20	1985-07-13	22:30:00	22:30:20	10:42:00	10:42:20	10:34:21	10:34:41	00:00:20	Philadelphia	Kenny Loggins	Introduction by Chevy Chase	
1985-07-13	17:30:20	17:34:34	1985-07-13	22:30:20	22:34:34	10:42:20	10:46:34	10:34:41	10:38:55	00:04:14	Philadelphia	Kenny Loggins	Footloose	
1985-07-13	17:39:00	17:42:02	1985-07-13	22:39:00	22:42:02	10:51:00	10:54:02	10:43:21	10:46:23	00:03:02	Philadelphia	The Cars	You Might Think	
1985-07-13	17:42:02	17:46:06	1985-07-13	22:42:02	22:46:06	10:54:02	10:58:06	10:46:23	10:50:27	00:04:04	Philadelphia	The Cars	Drive	
1985-07-13	17:46:06	17:49:32	1985-07-13	22:46:06	22:49:32	10:58:06	11:01:32	10:50:27	10:53:53	00:03:26	Philadelphia	The Cars	Just What I Needed	
1985-07-13	17:49:32	17:54:43	1985-07-13	22:49:32	22:54:43	11:01:32	11:06:43	10:53:53	10:59:04	00:05:11	Philadelphia	The Cars	Heartbeat City	
1985-07-13	18:06:00	18:06:10	1985-07-13	23:06:00	23:06:10	11:18:00	11:18:10	11:10:21	11:10:31	00:00:10	Philadelphia	Neil Young	Introduction by Joe Piscopo	
1985-07-13	18:06:10	18:10:55	1985-07-13	23:06:10	23:10:55	11:18:10	11:22:55	11:10:31	11:15:16	00:04:45	Philadelphia	Neil Young	Sugar Mountain	
1985-07-13	18:10:55	18:13:26	1985-07-13	23:10:55	23:13:26	11:22:55	11:25:26	11:15:16	11:17:47	00:02:31	Philadelphia	Neil Young	The Needle and the Damage Done	
1985-07-13	18:13:26	18:17:48	1985-07-13	23:13:26	23:17:48	11:25:26	11:29:48	11:17:47	11:22:09	00:04:22	Philadelphia	Neil Young	Helpless	
1985-07-13	18:17:48	18:22:32	1985-07-13	23:17:48	23:22:32	11:29:48	11:34:32	11:22:09	11:26:53	00:04:44	Philadelphia	Neil Young	Nothing Is Perfect (In God's Perfect Plan)	
1985-07-13	18:22:32	18:27:21	1985-07-13	23:22:32	23:27:21	11:34:32	11:39:21	11:26:53	11:31:42	00:04:49	Philadelphia	Neil Young	Powderfinger	
1985-07-13	18:42:00	18:42:17	1985-07-13	23:42:00	23:42:17	11:54:00	11:54:17	11:46:21	11:46:38	00:00:17	Philadelphia	The Power Station	Introduction by Don Johnson	
1985-07-13	18:42:17	18:46:37	1985-07-13	23:42:17	23:46:37	11:54:17	11:58:37	11:46:38	11:50:58	00:04:20	Philadelphia	The Power Station	Murderess	
1985-07-13	18:46:37	18:52:37	1985-07-13	23:46:37	23:52:37	11:58:37	12:04:37	11:50:58	11:56:58	00:06:00	Philadelphia	The Power Station	Get It On	
1985-07-13	19:21:00	19:21:53	1985-07-14	00:21:00	00:21:53	12:33:00	12:33:53	12:25:21	12:26:14	00:00:53	Philadelphia	Thompson Twins	Introduction by Bette Midler	
1985-07-13	19:21:53	19:29:52	1985-07-14	00:21:53	00:29:52	12:36:53	12:44:52	12:26:14	12:34:13	00:07:59	Philadelphia	Thompson Twins	Hold Me Now	
1985-07-13	19:29:52	19:34:39	1985-07-14	00:29:52	00:34:39	12:44:52	12:49:39	12:34:13	12:39:00	00:04:47	Philadelphia	Thompson Twins + Madonna + Steve Stevens + Nile Rodgers	Revolution	
1985-07-13	19:38:00	19:38:10	1985-07-14	00:38:00	00:38:10	12:53:00	12:53:10	12:42:21	12:42:31	00:00:10	Philadelphia	Eric Clapton	Introduction by Bill Graham	
1985-07-13	19:38:10	19:43:23	1985-07-14	00:38:10	00:43:23	12:53:10	12:58:23	12:42:31	12:47:44	00:05:13	Philadelphia	Eric Clapton	White Room	
1985-07-13	19:43:23	19:48:07	1985-07-14	00:43:23	00:48:07	12:58:23	13:03:07	12:47:44	12:52:28	00:04:44	Philadelphia	Eric Clapton	She's Waiting	
1985-07-13	19:48:07	19:54:51	1985-07-14	00:48:07	00:54:51	13:03:07	13:09:51	12:52:28	12:59:12	00:06:44	Philadelphia	Eric Clapton	Layla	
1985-07-13	20:00:00	20:01:02	1985-07-14	01:00:00	01:01:02	13:15:00	13:16:02	13:04:21	13:05:23	00:01:02	Philadelphia	Phil Collins	Introduction by Jack Nicholson and Bette Midler	
1985-07-13	20:01:02	20:04:47	1985-07-14	01:01:02	01:04:47	13:16:02	13:19:47	13:05:23	13:09:08	00:03:45	Philadelphia	Phil Collins	Against All Odds (Take a Look at Me Now)	
1985-07-13	20:04:47	20:09:23	1985-07-14	01:04:47	01:09:23	13:19:47	13:24:23	13:09:08	13:13:44	00:04:36	Philadelphia	Phil Collins	In the Air Tonight	
1985-07-13	20:10:00	20:11:36	1985-07-14	01:10:00	01:11:36	13:25:00	13:26:36	13:14:21	13:15:57	00:01:36	Philadelphia	Led Zeppelin	Introduction by Phil Collins	
1985-07-13	20:11:36	20:16:19	1985-07-14	01:11:36	01:16:19	13:26:36	13:31:19	13:15:57	13:20:40	00:04:43	Philadelphia	Led Zeppelin	Rock and Roll	
1985-07-13	20:16:19	20:21:39	1985-07-14	01:16:19	01:21:39	13:31:19	13:36:39	13:20:40	13:26:00	00:05:20	Philadelphia	Led Zeppelin	Whole Lotta Love	
1985-07-13	20:21:39	20:30:58	1985-07-14	01:21:39	01:30:58	13:36:39	13:45:58	13:26:00	13:35:19	00:09:19	Philadelphia	Led Zeppelin	Stairway to Heaven	
1985-07-13	20:39:00	20:42:33	1985-07-14	01:39:00	01:42:33	13:54:00	13:57:33	13:43:21	13:46:54	00:03:33	Philadelphia	"Crosby, Stills, Nash & Young"	Only Love Can Break Your Heart	
1985-07-13	20:42:33	20:43:17	1985-07-14	01:42:33	01:43:17	13:57:33	13:58:17	13:46:54	13:47:38	00:00:44	Philadelphia	"Crosby, Stills, Nash & Young"	Tuning	
1985-07-13	20:43:17	20:45:42	1985-07-14	01:43:17	01:45:42	13:58:17	14:00:42	13:47:38	13:50:03	00:02:25	Philadelphia	"Crosby, Stills, Nash & Young"	Daylight Again	
1985-07-13	20:46:00	20:46:15	1985-07-14	01:46:00	01:46:15	14:01:00	14:01:15	13:50:21	13:50:36	00:00:15	Philadelphia	Duran Duran	Introduction by Chevy Chase	
1985-07-13	20:46:15	20:50:22	1985-07-14	01:46:15	01:50:22	14:01:15	14:05:22	13:50:36	13:54:43	00:04:07	Philadelphia	Duran Duran	A View to a Kill	
1985-07-13	20:50:22	20:55:03	1985-07-14	01:50:22	01:55:03	14:05:22	14:10:03	13:54:43	13:59:24	00:04:41	Philadelphia	Duran Duran	Union of the Snake	
1985-07-13	20:55:03	21:01:47	1985-07-14	01:55:03	02:01:47	14:10:03	14:16:47	13:59:24	14:06:08	00:06:44	Philadelphia	Duran Duran	Save a Prayer	
1985-07-13	21:01:47	21:07:48	1985-07-14	02:01:47	02:07:48	14:16:47	14:22:48	14:06:08	14:12:09	00:06:01	Philadelphia	Duran Duran	The Reflex	
1985-07-13	21:11:00	21:11:10	1985-07-14	02:11:00	02:11:10	14:26:00	14:26:01	14:15:21	14:15:22	00:00:01	Video	Cliff Richard	Introduction by Andy Kershaw	BBC Chat Room
1985-07-13	21:11:10	21:13:56	1985-07-14	02:11:10	02:13:56	14:26:10	14:28:56	14:15:31	14:18:17	00:02:46	Video	Cliff Richard	A World of Difference	BBC Chat Room
1985-07-13	21:20:00	21:20:32	1985-07-14	02:20:00	02:20:32	14:35:00	14:35:32	14:24:21	14:24:53	00:00:32	Philadelphia	Patti LaBelle	Introduction by Bette Midler	
1985-07-13	21:20:32	21:23:23	1985-07-14	02:20:32	02:23:23	14:35:32	14:38:23	14:24:53	14:27:44	00:02:51	Philadelphia	Patti LaBelle	New Attitude	
1985-07-13	21:23:23	21:28:07	1985-07-14	02:23:23	02:28:07	14:38:23	14:43:07	14:27:44	14:32:28	00:04:44	Philadelphia	Patti LaBelle	Imagine	
1985-07-13	21:28:07	21:34:01	1985-07-14	02:28:07	02:34:01	14:43:07	14:49:01	14:32:28	14:38:22	00:05:54	Philadelphia	Patti LaBelle	Forever Young	
1985-07-13	21:34:01	21:36:21	1985-07-14	02:34:01	02:36:21	14:49:01	14:51:21	14:38:22	14:40:42	00:02:20	Philadelphia	Patti LaBelle	Stir It Up	
1985-07-13	21:36:21	21:39:04	1985-07-14	02:36:21	02:39:04	14:51:21	14:54:04	14:40:42	14:43:25	00:02:43	Philadelphia	Patti LaBelle	Over the Rainbow	
1985-07-13	21:39:04	21:41:48	1985-07-14	02:39:04	02:41:48	14:54:04	14:56:48	14:43:25	14:46:09	00:02:44	Philadelphia	Patti LaBelle	Why Can't I Get It Over	
1985-07-13	21:50:00	21:50:10	1985-07-14	02:50:00	02:50:10	15:05:00	15:05:10	14:54:21	14:54:31	00:00:10	Philadelphia	Hall & Oates	Introduction by Bill Graham of Dionne Warwick	
1985-07-13	21:50:10	21:50:43	1985-07-14	02:50:10	02:50:43	15:05:10	15:05:43	14:54:31	14:55:04	00:00:33	Philadelphia	Hall & Oates	Introduction by Dionne Warwick	
1985-07-13	21:50:43	21:55:10	1985-07-14	02:50:43	02:55:10	15:05:43	15:10:10	14:55:04	14:59:31	00:04:27	Philadelphia	Hall & Oates	Out of Touch	
1985-07-13	21:55:10	22:00:37	1985-07-14	02:55:10	03:00:37	15:10:10	15:15:37	14:59:31	15:04:58	00:05:27	Philadelphia	Hall & Oates	Maneater	
1985-07-13	22:00:37	22:03:11	1985-07-14	03:00:37	03:03:11	15:15:37	15:18:11	15:04:58	15:07:32	00:02:34	Philadelphia	Hall & Oates + Eddie Kendricks	Get Ready	
1985-07-13	22:03:11	22:06:00	1985-07-14	03:03:11	03:06:00	15:18:11	15:21:00	15:07:32	15:10:21	00:02:49	Philadelphia	Hall & Oates + David Ruffin	Ain't Too Proud to Beg	
1985-07-13	22:06:00	22:08:41	1985-07-14	03:06:00	03:08:41	15:21:00	15:23:41	15:10:21	15:13:02	00:02:41	Philadelphia	Hall & Oates	The Way You Do the Things You Do	
1985-07-13	22:08:41	22:12:22	1985-07-14	03:08:41	03:12:22	15:23:41	15:27:22	15:13:02	15:16:43	00:03:41	Philadelphia	Hall & Oates + Eddie Kendricks + David Ruffin	My Girl	
1985-07-13	22:15:00	22:15:29	1985-07-14	03:15:00	03:15:29	15:30:00	15:30:29	15:19:21	15:19:50	00:00:29	Philadelphia	Mick Jagger	Introduction by Bette Midler	
1985-07-13	22:15:29	22:18:54	1985-07-14	03:15:29	03:18:54	15:30:29	15:33:54	15:19:50	15:23:15	00:03:25	Philadelphia	Mick Jagger	Lonely at the Top	
1985-07-13	22:18:54	22:24:21	1985-07-14	03:18:54	03:24:21	15:33:54	15:39:21	15:23:15	15:28:42	00:05:27	Philadelphia	Mick Jagger	Just Another Night	
1985-07-13	22:24:21	22:29:31	1985-07-14	03:24:21	03:29:31	15:39:21	15:44:31	15:28:42	15:33:52	00:05:10	Philadelphia	Mick Jagger	Miss You	
1985-07-13	22:29:31	22:32:05	1985-07-14	03:29:31	03:32:05	15:44:31	15:47:05	15:33:52	15:36:26	00:02:34	Philadelphia	Mick Jagger + Tina Turner	State of Shock	
1985-07-13	22:32:05	22:35:00	1985-07-14	03:32:05	03:35:00	15:47:05	15:50:00	15:36:26	15:39:21	00:02:55	Philadelphia	Mick Jagger + Tina Turner	It's Only Rock 'n Roll (But I Like It) (Reprise)	
1985-07-13	22:39:00	22:39:20	1985-07-14	03:39:00	03:39:20	15:54:00	15:54:20	15:43:21	15:43:41	00:00:20	Philadelphia	Bob Dylan + Keith Richards + Ronnie Wood	Introduction by Bill Graham of Jack Nicholson	
1985-07-13	22:39:20	22:40:09	1985-07-14	03:39:20	03:40:09	15:54:20	15:55:09	15:43:41	15:44:30	00:00:49	Philadelphia	Bob Dylan + Keith Richards + Ronnie Wood	Introduction by Jack Nicholson	
1985-07-13	22:40:09	22:44:43	1985-07-14	03:40:09	03:44:43	15:55:09	15:59:43	15:44:30	15:49:04	00:04:34	Philadelphia	Bob Dylan + Keith Richards + Ronnie Wood	Ballad of Hollis Brown	
1985-07-13	22:44:43	22:48:19	1985-07-14	03:44:43	03:48:19	15:59:43	16:03:19	15:49:04	15:52:40	00:03:36	Philadelphia	Bob Dylan + Keith Richards + Ronnie Wood	When the Ship Comes In	
1985-07-13	22:48:19	22:52:55	1985-07-14	03:48:19	03:52:55	16:03:19	16:07:55	15:52:40	15:57:16	00:04:36	Philadelphia	Bob Dylan + Keith Richards + Ronnie Wood	Blowin' in the Wind	
1985-07-13	22:55:00	23:03:57	1985-07-14	03:55:00	04:03:57	16:10:00	16:18:57	15:59:21	16:08:18	00:08:57	Philadelphia	USA for Africa	We Are the World	