DATE (AEST)	TIME START	TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	Note: The exact start time of the concert could not be determined. Best Guess: 2100 AEST					
1985-07-13	00:00:00	00:00:54	00:00:54	Video	MTV	Opening Segment						
1985-07-13	00:00:54	00:05:33	00:04:39	Sydney	Mental as Everything	Live It Up						
1985-07-13	00:05:33	00:08:50	00:03:17	Sydney	Mental as Everything	If You Leave Me, Can I Come Too?						
1985-07-13	00:08:50	00:13:20	00:04:30	Sydney	Mental as Everything	You're So Strong						
1985-07-13	00:13:20	00:19:22	00:06:02	Sydney	Machinations	Pressure Sway						
1985-07-13	00:19:22	00:24:42	00:05:20	Sydney	Machinations	My Heart's On Fire						
1985-07-13	00:24:42	00:29:01	00:04:19	Sydney	Machinations	No Say In It						
1985-07-13	00:29:01	00:34:13	00:05:12	Sydney	I'm Talking	Lead the Way						
1985-07-13	00:34:13	00:38:55	00:04:42	Sydney	Models	Big On Love						
1985-07-13	00:38:55	00:44:20	00:05:25	Sydney	Models	I Hear Motion						
1985-07-13	00:44:20	00:48:07	00:03:47	Sydney	Models	Stormy Tonight						
1985-07-13	00:48:07	00:51:53	00:03:46	Sydney	Models	Out of Mind, Out of Sight						
1985-07-13	00:51:53	00:57:01	00:05:08	Sydney	Do-Ré-Mi	Man Overboard						
1985-07-13	00:57:01	01:00:55	00:03:54	Sydney	Do-Ré-Mi	Warnings Moving Clockwise						
1985-07-13	01:00:55	01:04:46	00:03:51	Sydney	Do-Ré-Mi	1000 Mouths						
1985-07-13	01:04:46	01:08:40	00:03:54	Sydney	Electric Pandas	Missing Me						
1985-07-13	01:08:40	01:11:55	00:03:15	Sydney	Electric Pandas	Let's Gamble						
1985-07-13	01:11:55	01:16:31	00:04:36	Sydney	Dragon	Speak No Evil						
1985-07-13	01:16:31	01:22:38	00:06:07	Sydney	Dragon	Rain						
1985-07-13	01:22:38	01:28:15	00:05:37	Sydney	Dragon	Are You Old Enough						
1985-07-13	01:28:15	01:30:13	00:01:58	Video	MTV	Space Promo						
1985-07-13	01:30:13	01:35:36	00:05:23	Sydney	Men at Work	Maria						
1985-07-13	01:35:36	01:39:44	00:04:08	Sydney	Men at Work	Overkill						
1985-07-13	01:39:44	01:44:10	00:04:26	Sydney	Men at Work	The Longest Night						
1985-07-13	01:44:10	01:49:52	00:05:42	Sydney	Australian Crawl	Reckless (Don't Be So)						
1985-07-13	01:49:52	01:54:19	00:04:27	Sydney	Australian Crawl	Two Can Play						
1985-07-13	01:54:19	01:59:37	00:05:18	Sydney	Australian Crawl	The Boys Light Up						
1985-07-13	01:59:37	02:03:24	00:03:47	Sydney	Party Girls	Isolation						
1985-07-13	02:03:24	02:03:34	00:00:10	Video	MTV	Live Aid Promo						
1985-07-13	02:03:34	02:07:19	00:03:45	Sydney	Uncanny X-Men	Work						
1985-07-13	02:07:19	02:12:10	00:04:51	Sydney	Uncanny X-Men	50 Years						
1985-07-13	02:12:10	02:17:32	00:05:22	Sydney	Goanna	Common Ground						
1985-07-13	02:17:32	02:22:00	00:04:28	Sydney	Goanna	Song for Africa						
1985-07-13	02:22:00	02:28:54	00:06:54	Sydney	Goanna	Solid Rock						
1985-07-13	02:28:54	02:31:11	00:02:17	Video	MTV	Cartoon Promo						
1985-07-13	02:31:11	02:34:31	00:03:20	Sydney	Little River Band	Don't Blame Me						
1985-07-13	02:34:31	02:36:25	00:01:54	Sydney	Little River Band	Full Circle						
1985-07-13	02:36:25	02:41:22	00:04:57	Sydney	Little River Band	Night Owls						
1985-07-13	02:41:22	02:44:57	00:03:35	Sydney	Little River Band	Playing to Win						
1985-07-13	02:44:57	02:48:12	00:03:15	Sydney	Mondo Rock	Cool World						
1985-07-13	02:48:12	02:49:22	00:01:10	Video	MTV	Don’t Go Away Promo						
1985-07-13	02:49:22	02:51:59	00:02:37	Sydney	Mondo Rock	The Moment						
1985-07-13	02:51:59	02:55:22	00:03:23	Sydney	Mondo Rock	Modern Bop						
1985-07-13	02:55:22	03:00:34	00:05:12	Sydney	Mondo Rock	Come Said the Boy						
1985-07-13	03:00:34	03:06:34	00:06:00	Sydney	Angel City	Small Price						
1985-07-13	03:06:34	03:12:14	00:05:40	Sydney	Angel City	Eat City						
1985-07-13	03:12:14	03:17:30	00:05:16	Sydney	Angel City	Underground						
1985-07-13	03:17:30	03:23:18	00:05:48	Sydney	Angel City	Take a Long Line						
1985-07-13	03:23:18	03:25:32	00:02:14	Video	MTV	Promo						
1985-07-13	03:25:32	03:32:09	00:06:37	Sydney	Renee Geyer	Put a Little Love in Your Heart (cover)						
1985-07-13	03:32:09	03:33:39	00:01:30	Sydney	Renee Geyer	All My Love						
1985-07-13	03:33:39	03:37:59	00:04:20	Sydney	Renee Geyer	Telling it like it Is						
1985-07-13	03:37:59	03:43:43	00:05:44	Sydney	INXS	Original Sin						
1985-07-13	03:43:43	03:48:29	00:04:46	Sydney	INXS	Listen Like Thieves						
1985-07-13	03:48:29	03:52:26	00:03:57	Sydney	INXS	Kiss the Dirt						
1985-07-13	03:52:26	03:56:29	00:04:03	Sydney	INXS	What You Need						
1985-07-13	03:56:29	04:01:43	00:05:14	Sydney	INXS	Don't Change						
1985-07-13	04:01:43	04:03:12	00:01:29	Sydney	MTV	Closing Segment						
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												