DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	08:06:00	08:07:00	1985-07-13	13:06:00	13:07:00	00:01:00	Video [Australia]	Oz for Africa	Introduction by Ian Meldrum	
1985-07-13	08:07:00	08:18:00	1985-07-13	13:07:00	13:18:00	00:11:00	Video [Australia]	Oz for Africa	Music	
1985-07-13	08:34:00	08:35:56	1985-07-13	13:34:00	13:35:56	00:01:56	Video [Japan]	Loudness	Gotta Fight	
1985-07-13	08:35:56	08:37:54	1985-07-13	13:35:56	13:37:54	00:01:58	Video [Japan]	Off Cause	Endless Night	
1985-07-13	08:37:54	08:39:45	1985-07-13	13:37:54	13:39:45	00:01:51	Video [Japan]	Eikichi Yazawa	Take It Time	
1985-07-13	08:39:45	08:42:52	1985-07-13	13:39:45	13:42:52	00:03:07	Video [Japan]	Motoharu San	Shame	
1985-07-13	09:12:00	09:12:52	1985-07-13	14:12:00	14:12:52	00:00:52	Video [Austria]	Austria for Afrika	Introduction	
1985-07-13	09:12:52	09:17:23	1985-07-13	14:12:52	14:17:23	00:04:31	Video [Austria]	Austria for Afrika	Warum	
1985-07-13	09:40:00	09:40:40	1985-07-13	14:40:00	14:40:40	00:00:40	Video [Netherlands]	B.B. King	Introduction	JVC North Sea Jazz Festival
1985-07-13	09:40:40	09:41:08	1985-07-13	14:40:40	14:41:08	00:00:28	Video [Netherlands]	B.B. King	When It All Comes Down	JVC North Sea Jazz Festival
1985-07-13	09:41:08	09:44:29	1985-07-13	14:41:08	14:44:29	00:03:21	Video [Netherlands]	B.B. King	Why I Sing the Blues	JVC North Sea Jazz Festival
1985-07-13	09:44:29	09:47:27	1985-07-13	14:44:29	14:47:27	00:02:58	Video [Netherlands]	B.B. King	Don't Answer the Door	JVC North Sea Jazz Festival
1985-07-13	09:47:27	09:49:33	1985-07-13	14:47:27	14:49:33	00:02:06	Video [Netherlands]	B.B. King	Rock Me Baby	JVC North Sea Jazz Festival
1985-07-13	10:10:00	10:10:30	1985-07-13	15:10:00	15:10:30	00:00:30	Video [Yugoslavia]	Yu Rock Mission	Introduction by Mladen Popovic	
1985-07-13	10:10:30	10:15:12	1985-07-13	15:10:30	15:15:12	00:04:42	Video [Yugoslavia]	Yu Rock Mission	For a Million Years	
1985-07-13	10:55:00	10:55:58	1985-07-13	15:55:00	15:55:58	00:00:58	Video [USSR]	Автограф	Introduction by Vladimir Posner	
1985-07-13	10:55:58	11:01:17	1985-07-13	15:55:58	16:01:17	00:05:19	Video [USSR]	Автограф	Головокружение	
1985-07-13	11:01:17	11:01:55	1985-07-13	16:01:17	16:01:55	00:00:38	Video [USSR]	Автограф	Speech by Vladimir Posner	
1985-07-13	11:01:55	11:05:56	1985-07-13	16:01:55	16:05:56	00:04:01	Video [USSR]	Автограф	Нам Нужен Мир	
1985-07-13	11:27:00	11:27:20	1985-07-13	16:27:00	16:27:20	00:00:20	Video [Germany]	Band Für Afrika	Introduction by Evelyn Selbert and Ken Janz	
1985-07-13	11:27:20	11:31:33	1985-07-13	16:27:20	16:31:33	00:04:13	Video [Germany]	Band Für Afrika	Speech by Udo Lindenberg	
1985-07-13	11:31:33	11:35:36	1985-07-13	16:31:33	16:35:36	00:04:03	Video [Germany]	Band Für Afrika	Nackt im Wind	
1985-07-13	11:35:36	11:38:05	1985-07-13	16:35:36	16:38:05	00:02:29	Video [Germany]	Band Für Afrika	Ein Jahr (Es Geht Voran)	
1985-07-13	14:02:10	14:04:55	1985-07-13	19:02:10	19:04:55	00:02:45	Video	David Bowie + Mick Jagger	Dancing in the Streets	
1985-07-13	14:41:07	14:44:52	1985-07-13	19:41:07	19:44:52	00:03:45	Video	CBC	Famine Video	
1985-07-13	15:27:00	15:30:06	1985-07-13	20:27:00	20:30:06	00:03:06	Video	Phil Collins + Steve Blacknell	Concorde Interview	On BBC, played during Santana performance
1985-07-13	15:30:06	15:34:52	1985-07-13	20:30:06	20:34:52	00:04:46	Video [Norway]	Norwegian Band Aid	All of Us	
1985-07-13	16:19:00	16:21:01	1985-07-13	21:19:00	21:21:01	00:02:01	Video	Kool & The Gang	Stand Up and Sing	Pre-recorded video
1985-07-13	16:21:01	16:24:12	1985-07-13	21:21:01	21:24:12	00:03:11	Video	Kool & The Gang	Cherish	Pre-recorded video
1985-07-13	21:11:00	21:11:10	1985-07-14	02:11:00	02:11:10	00:00:01	Video	Cliff Richard	Introduction by Andy Kershaw	BBC Chat Room
1985-07-13	21:11:10	21:13:56	1985-07-14	02:11:10	02:13:56	00:02:46	Video	Cliff Richard	A World of Difference	BBC Chat Room